station_european_code,component_code,component_name,component_caption,statistics_year,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid
IASI,1,Sulphur dioxide (air),SO2,2011,P50,50 percentile,"4,530","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,Mean,annual mean,"5,439","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,P95,95 percentile,"11,740","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,P98,98 percentile,"16,310","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,P99_9,99.9 percentile,"27,030","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,Max,maximum,"49,840","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,Max25,25th highest value,"23,230","95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2011,Hours(c > 350),hours with c > 350 ug/m3,0,"95,011",8323
IASI,1,Sulphur dioxide (air),SO2,2012,P50,50 percentile,"4,077","88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,Mean,annual mean,"5,113","88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,P95,95 percentile,"12,089","88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,P98,98 percentile,"16,857","88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,Max,maximum,"23,460","88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,Max4,4th highest value,"18,779","88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,Days(c > 125),days with c > 125 ug/m3,0,"88,251",323
IASI,1,Sulphur dioxide (air),SO2,2012,P50,50 percentile,"3,920","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,Mean,annual mean,"5,108","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,P95,95 percentile,"13,230","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,P98,98 percentile,"17,560","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,P99_9,99.9 percentile,"29,720","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,Max,maximum,"36,640","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,Max25,25th highest value,"25,200","84,381",7412
IASI,1,Sulphur dioxide (air),SO2,2012,Hours(c > 350),hours with c > 350 ug/m3,0,"84,381",7412
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,P50,50 percentile,"58,625","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Mean,annual mean,"70,762","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,P95,95 percentile,"169,083","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,P98,98 percentile,"217,375","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Max,maximum,"339,333","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Max36,36th highest value,"130,458","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Max8,8th highest value,"216,083","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Days(c > 50),days with c > 50 ug/m3,"185,000","87,123",318
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,P50,50 percentile,"52,000","88,322",7737
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Mean,annual mean,"71,011","88,322",7737
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,P95,95 percentile,"199,000","88,322",7737
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,P98,98 percentile,"264,000","88,322",7737
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2006,Max,maximum,"539,000","88,322",7737
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,P50,50 percentile,"55,100","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,Mean,annual mean,"60,896","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,P95,95 percentile,"109,800","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,P98,98 percentile,"132,600","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,Max,maximum,"250,200","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,Max36,36th highest value,"77,400","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,Max8,8th highest value,"118,300","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2007,Days(c > 50),days with c > 50 ug/m3,"106,000","48,493",177
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,P50,50 percentile,"59,900","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,Mean,annual mean,"64,933","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,P95,95 percentile,"123,780","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,P98,98 percentile,"145,380","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,Max,maximum,"169,440","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,Max36,36th highest value,"104,510","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,Max8,8th highest value,"141,750","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2008,Days(c > 50),days with c > 50 ug/m3,"196,000","80,601",295
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,P50,50 percentile,"43,150","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,Mean,annual mean,"48,853","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,P95,95 percentile,"95,370","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,P98,98 percentile,"118,580","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,Max,maximum,"179,500","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,Max36,36th highest value,"77,600","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,Max8,8th highest value,"118,580","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2009,Days(c > 50),days with c > 50 ug/m3,"102,000","94,521",345
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,P50,50 percentile,"40,880","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,Mean,annual mean,"42,848","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,P95,95 percentile,"91,070","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,P98,98 percentile,"104,560","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,Max,maximum,"144,250","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,Max36,36th highest value,"64,520","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,Max8,8th highest value,"102,040","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2011,Days(c > 50),days with c > 50 ug/m3,"43,000","79,726",291
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,P50,50 percentile,"43,450","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,Mean,annual mean,"47,581","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,P95,95 percentile,"100,000","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,P98,98 percentile,"126,780","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,Max,maximum,"165,470","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,Max36,36th highest value,"79,560","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,Max8,8th highest value,"126,780","96,995",355
IASI,5,Particulate matter < 10 µm (aerosol),PM10,2012,Days(c > 50),days with c > 50 ug/m3,"71,000","96,995",355
