station_european_code,component_code,component_name,component_caption,statistics_year,statistic_shortname,statistic_name,statistic_value,statistics_percentage_valid,statistics_number_valid
IASI,12,Lead (aerosol),Pb,2008,P98,98 percentile,66,"68,852",252
IASI,12,Lead (aerosol),Pb,2008,Max,maximum,157,"68,852",252
IASI,12,Lead (aerosol),Pb,2009,P50,50 percentile,10,"79,452",290
IASI,12,Lead (aerosol),Pb,2009,Mean,annual mean,17,"79,452",290
IASI,12,Lead (aerosol),Pb,2009,P95,95 percentile,40,"79,452",290
IASI,12,Lead (aerosol),Pb,2009,P98,98 percentile,60,"79,452",290
IASI,12,Lead (aerosol),Pb,2009,Max,maximum,90,"79,452",290
IASI,12,Lead (aerosol),Pb,2011,P50,50 percentile,10,"79,726",291
IASI,12,Lead (aerosol),Pb,2011,Mean,annual mean,17,"79,726",291
IASI,12,Lead (aerosol),Pb,2011,P95,95 percentile,30,"79,726",291
IASI,12,Lead (aerosol),Pb,2011,Max,maximum,40,"79,726",291
IASI,12,Lead (aerosol),Pb,2011,P98,98 percentile,40,"79,726",291
IASI,12,Lead (aerosol),Pb,2012,P50,50 percentile,30,"96,995",355
IASI,12,Lead (aerosol),Pb,2012,Mean,annual mean,38,"96,995",355
IASI,12,Lead (aerosol),Pb,2012,P95,95 percentile,110,"96,995",355
